5,1,0,0,0,0,0,0,6,5,0,0,0,14,57,36,8,12,0,0,0,0,1,0
6,0,0,2,0,0,0,0,2,2,0,0,4,57,102,68,51,14,0,0,0,5,8,0
8,1,2,0,0,0,0,0,0,0,0,7,12,12,57,67,43,41,13,2,7,7,13,13
0,4,6,2,0,0,0,0,5,0,9,7,4,37,47,52,60,28,13,6,10,9,11,14
0,3,0,0,2,0,0,0,0,7,15,37,103,101,134,94,63,46,29,18,5,0,0,0
9,8,11,9,10,14,27,15,38,40,59,67,170,406,532,313,105,61,50,32,14,11,7,5
10,7,9,13,12,6,12,35,53,52,57,92,160,228,306,234,124,92,45,15,14,12,12,9
3,1,3,0,5,0,0,10,3,3,65,99,127,154,212,191,134,91,62,15,21,14,6,0
4,0,0,0,0,0,0,0,10,5,57,90,130,132,109,134,153,123,85,58,50,24,9,4
0,1,5,5,4,2,8,9,6,3,63,83,129,160,134,88,101,111,84,70,73,71,35,7
6,8,9,6,8,2,0,0,7,50,56,79,127,166,147,90,52,55,72,73,79,65,6,0
0,0,6,0,0,3,4,3,13,56,70,87,120,162,155,112,17,5,14,43,67,55,0,0
0,1,0,4,4,5,7,9,35,56,102,117,149,174,165,119,45,24,0,0,12,19,11,13
0,6,9,7,8,2,8,9,31,60,107,126,161,197,162,122,74,12,10,12,14,10,12,7
0,6,5,0,10,0,0,0,5,43,68,110,141,155,136,107,29,7,14,21,84,52,12,10
4,2,4,2,4,0,0,2,2,21,58,85,124,129,105,80,62,15,7,25,80,54,22,10
5,4,3,5,9,4,9,11,13,14,62,78,112,82,71,57,54,12,9,4,14,35,12,11
5,13,15,26,19,13,22,11,22,41,80,100,95,97,62,56,39,29,11,12,20,19,14,9
6,6,10,9,8,8,10,9,15,59,111,162,235,173,120,98,83,14,12,11,15,12,7,5
1,7,11,12,11,7,12,20,57,64,112,187,290,356,184,112,100,32,10,11,10,9,1,1
6,9,9,7,9,17,26,13,53,70,135,214,248,298,301,152,107,58,10,17,13,3,3,3
0,0,7,3,9,12,8,13,19,66,129,201,268,302,253,188,130,78,47,47,10,9,7,9
3,9,14,9,4,13,25,21,19,62,117,156,224,280,198,178,138,117,85,97,59,7,1,5
0,0,1,0,0,5,9,14,45,87,103,110,133,135,140,150,138,125,113,111,110,62,18,0
