0,0,0,0,0,0,0,9,12,14,31,31,31,14,12,13,5,6,0,0,0,0,4,0
0,0,0,1,5,8,22,30,53,51,55,61,56,53,51,34,21,6,0,9,7,0,0,0
7,0,0,13,14,31,54,57,63,64,69,75,100,83,52,50,28,35,9,30,11,0,7,0
7,0,8,15,34,51,62,84,67,92,102,100,86,74,60,55,52,31,32,26,28,9,8,9
0,0,6,30,41,50,54,57,68,72,82,83,104,72,66,59,59,54,33,34,24,9,2,5
0,9,27,54,56,57,61,62,71,73,95,114,104,92,87,80,75,65,55,49,32,18,14,0
4,9,44,59,60,61,67,82,98,105,127,129,121,114,114,105,81,89,65,57,50,21,11,4
8,7,52,62,68,70,84,108,118,134,141,132,109,100,118,123,106,83,75,59,53,31,12,8
0,2,38,58,62,66,69,94,123,125,120,121,113,104,106,91,87,67,63,56,53,34,5,0
0,0,13,33,48,54,67,68,77,87,86,97,91,101,86,87,77,58,9,2,0,0,0,0
0,0,0,8,25,52,67,84,83,95,106,114,138,145,126,113,81,67,20,53,23,0,0,0
0,0,14,32,41,58,69,114,135,155,162,144,140,165,146,115,89,61,18,58,56,3,0,0
0,6,48,53,48,61,76,118,145,175,169,155,168,160,146,127,100,26,28,53,55,29,0,4
4,32,68,63,52,59,89,115,132,161,166,147,152,147,140,119,101,20,11,81,67,62,12,0
5,67,98,62,14,47,56,103,99,98,120,118,135,137,133,108,75,10,0,57,101,88,26,9
13,54,62,63,13,59,51,98,97,82,75,72,105,120,103,96,63,13,0,15,43,47,17,9
11,52,55,39,15,36,61,73,63,63,73,66,83,69,65,69,59,26,0,6,9,30,9,5
10,34,37,21,40,45,56,77,87,97,108,111,89,100,117,111,74,42,12,9,8,18,18,5
5,18,45,10,56,78,113,128,124,144,155,161,154,119,119,143,119,77,52,33,5,14,13,9
4,17,31,11,51,82,107,148,172,187,203,210,212,184,177,170,167,124,103,16,11,9,12,11
2,11,20,20,35,63,122,150,171,190,233,237,218,238,216,196,154,133,110,52,27,12,11,12
2,10,13,39,61,105,127,148,189,229,267,300,248,268,269,221,175,112,81,54,35,17,13,3
9,13,26,32,49,98,120,151,202,212,279,272,216,239,249,197,175,133,83,67,42,24,13,12
