6,1,0,1,0,7,10,44,105,115,64,63,59,52,38,13,0,4,2,2,0,12,10,10
11,6,0,5,6,11,29,66,110,80,62,58,52,36,52,33,13,0,0,6,9,8,14,13
9,8,7,10,7,15,70,108,120,113,85,62,83,75,80,59,42,34,4,5,3,0,12,50
8,6,14,8,13,17,78,115,119,122,105,74,58,80,114,75,91,61,51,11,1,0,1,50
0,2,5,11,7,12,59,102,110,101,72,10,52,47,75,116,112,101,37,24,5,0,9,17
4,7,12,11,10,11,51,66,77,78,54,53,56,29,61,76,89,46,14,24,6,0,0,13
9,11,11,9,9,6,50,66,72,53,78,74,68,66,58,53,14,10,8,6,5,0,0,4
5,6,0,0,0,0,0,72,56,76,94,74,78,67,55,55,11,0,2,0,1,9,16,34
1,0,0,0,0,0,0,56,75,80,76,114,113,107,71,55,65,8,24,5,0,0,0,3
1,1,6,2,0,0,3,57,65,78,117,166,176,160,121,55,52,4,11,5,4,0,0,11
6,10,4,0,0,0,7,58,68,103,178,239,242,227,149,79,57,53,0,0,6,0,6,0
0,0,0,0,0,2,5,74,101,141,214,220,177,194,144,103,73,52,8,0,0,0,6,2
0,0,0,0,4,0,11,71,108,153,220,264,177,162,131,101,80,26,12,11,0,0,0,4
0,0,0,0,5,0,48,103,112,162,202,208,163,150,129,108,81,10,8,3,2,0,0,0
0,0,0,5,5,2,43,101,96,116,177,190,161,136,126,104,74,7,7,4,9,0,7,7
2,2,5,5,3,48,14,100,104,102,132,137,131,124,105,85,52,9,0,0,0,0,0,0
10,9,9,9,11,53,56,101,80,92,117,96,116,74,69,65,35,6,0,3,6,0,0,0
11,17,24,27,29,31,53,71,105,109,125,105,81,83,66,54,40,30,16,11,8,13,9,5
0,4,13,8,14,48,105,107,133,135,135,119,86,73,65,79,33,16,10,9,12,5,6,11
7,12,25,21,46,44,90,129,218,188,171,128,117,107,101,89,92,14,10,9,9,5,0,0
6,14,13,15,20,38,105,145,244,273,354,233,164,126,114,106,38,39,32,14,11,7,2,0
7,9,13,13,33,42,103,152,229,319,370,337,241,176,140,123,103,66,39,27,12,11,13,10
3,11,20,38,44,59,100,142,218,268,347,271,208,188,167,164,162,143,90,89,44,23,11,7
3,3,8,31,17,65,103,118,147,188,221,216,193,187,174,173,170,157,137,121,107,68,14,8
8,13,5,8,16,52,78,104,112,133,139,160,162,161,147,173,161,147,147,149,138,114,62,18
